,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
356,Bitung,1.4451,125.1824,76.05,84,98,5.12,ID,1644597738
357,Pochutla,15.7432,-96.4661,85.82,45,3,6.42,MX,1644597739
358,Minggang,32.4586,114.0486,38.21,94,75,4.14,CN,1644597739
359,Arlit,18.7369,7.3853,79.11,9,0,6.51,NE,1644597739
360,Novocheboksarsk,56.111,47.4776,30.76,86,75,11.18,RU,1644597740
361,Porirua,-41.1333,174.85,66.54,95,100,5.06,NZ,1644597740
362,Bull Savanna,17.8868,-77.5902,81.0,62,10,10.89,JM,1644597741
363,Harper,4.375,-7.7169,84.11,67,48,7.09,LR,1644597741
364,Neumünster,54.0667,9.9833,40.06,65,38,1.99,DE,1644597742
365,Phuthaditjhaba,-28.5242,28.8158,66.58,67,95,1.74,ZA,1644597742
366,Robertsport,6.7533,-11.3686,82.0,77,6,13.69,LR,1644597742
367,Madingou,-4.1536,13.55,82.08,73,20,2.13,CG,1644597743
368,Skibbereen,51.55,-9.2667,46.2,77,100,25.19,IE,1644597743
369,Deniliquin,-35.5333,144.9667,59.0,56,0,7.09,AU,1644597743
370,Pemberton,50.3164,-122.8027,30.06,77,96,1.86,CA,1644597744
371,Baykit,61.67,96.37,-15.9,99,12,1.81,RU,1644597744
372,São Filipe,14.8961,-24.4956,81.52,46,86,15.1,CV,1644597745
373,Taoudenni,22.6783,-3.9836,75.74,14,0,14.27,ML,1644597745
374,Brae,60.3964,-1.353,40.91,69,100,15.48,GB,1644597745
375,Rocha,-34.4833,-54.3333,88.3,38,10,2.84,UY,1644597746
376,Malinyi,-8.9333,36.1333,73.56,93,88,2.51,TZ,1644597746
377,Yuncheng,35.0231,110.9928,38.98,61,26,5.61,CN,1644597746
378,Concepción de Buenos Aires,19.9667,-103.2667,52.12,21,0,6.08,MX,1644597747
379,Yarmouth,41.7057,-70.2286,54.1,58,0,10.36,US,1644597747
380,Lincoln,40.8,-96.667,47.14,69,0,23.02,US,1644597370
381,Gimli,50.6336,-96.9907,-12.57,70,53,21.85,CA,1644597748
382,Mata,40.683,-7.4592,62.6,58,54,1.63,PT,1644597748
383,North Branch,45.5113,-92.9802,26.94,76,99,19.22,US,1644597748
384,Gudāri,19.35,83.7833,66.22,53,18,0.69,IN,1644597749
385,São João da Barra,-21.6403,-41.0511,78.89,83,100,6.91,BR,1644597749
386,Kurchum,48.5722,83.6542,1.74,96,100,3.27,KZ,1644597750
387,Manggar,-2.8833,108.2667,77.92,86,100,6.76,ID,1644597750
388,Leshukonskoye,64.8989,45.7622,20.19,95,100,6.82,RU,1644597751
389,Batagay,67.6333,134.6333,-29.15,98,98,1.88,RU,1644597751
390,Marawi,7.9986,124.2928,66.65,96,50,1.01,PH,1644597751
391,Varkala,8.7341,76.7067,83.98,75,83,2.82,IN,1644597752
392,Tibú,8.639,-72.7358,89.71,49,91,2.08,CO,1644597752
393,Margate,51.3813,1.3862,43.97,69,46,3.0,GB,1644597752
394,El Alto,-4.2714,-81.2147,85.66,60,59,10.87,PE,1644597753
395,Ketchikan,55.3422,-131.6461,34.27,86,100,5.75,US,1644597753
396,Beni Suef,29.0731,31.0979,58.68,44,0,8.34,EG,1644597754
397,Rusape,-18.5278,32.1284,67.15,70,100,7.43,ZW,1644597754
398,Avera,33.194,-82.5271,66.7,44,83,7.83,US,1644597754
399,Eldorado,-23.7869,-54.2836,89.51,37,0,9.35,BR,1644597658
400,Saint-Joseph,-21.3667,55.6167,77.38,80,38,4.25,RE,1644597755
401,Port Hedland,-20.3167,118.5667,86.05,79,6,8.05,AU,1644597755
402,Sitka,57.0531,-135.33,37.29,75,100,10.36,US,1644597646
403,Pangnirtung,66.1451,-65.7125,3.2,55,100,10.36,CA,1644597756
404,Zhireken,52.8249,117.3076,-18.13,99,56,3.15,RU,1644597756
405,Moerai,-22.4333,-151.3333,79.36,75,100,6.17,PF,1644597757
406,Mapili,11.1081,122.7393,73.65,93,100,4.92,PH,1644597757
407,Jever,53.5833,7.9,40.01,75,61,9.57,DE,1644597758
408,Taiyuan,37.8694,112.5603,30.06,43,0,6.71,CN,1644597758
409,Sistranda,63.7256,8.834,35.91,55,100,34.69,NO,1644597758
410,High Prairie,55.4334,-116.4858,22.3,74,65,1.36,CA,1644597759
411,Hamilton,39.1834,-84.5333,52.43,52,100,14.97,US,1644597759
412,Sangar,63.9242,127.4739,-36.54,100,78,1.25,RU,1644597760
413,Port Blair,11.6667,92.75,78.84,78,40,3.44,IN,1644597760
414,Ballina,-28.8667,153.5667,69.76,90,75,11.5,AU,1644597760
415,Kahama,-3.8333,32.6,66.54,88,99,3.98,TZ,1644597761
416,Abu Kamal,34.4506,40.9171,58.12,40,86,10.45,SY,1644597761
417,Puerto Cabezas,14.0351,-83.3888,82.36,89,40,6.91,NI,1644597762
418,Axum,14.1245,38.7244,67.24,49,80,9.04,ET,1644597762
419,Narón,43.5167,-8.1528,61.68,81,91,11.65,ES,1644597762
420,Apostolove,47.66,33.7137,41.88,77,65,7.94,UA,1644597763
421,Yenagoa,4.9247,6.2642,90.55,46,64,10.96,NG,1644597763
422,Otane,-39.8833,176.6333,65.01,99,100,0.74,NZ,1644597763
423,Kibala,9.1104,18.3463,96.75,11,0,9.22,TD,1644597764
424,Vite,17.2833,74.55,75.63,35,6,10.78,IN,1644597764
425,Ahlat,38.7518,42.4814,19.92,87,16,4.65,TR,1644597764
426,Arys,42.4252,68.795,48.42,51,100,9.01,KZ,1644597765
427,Seymchan,62.8833,152.4333,-42.36,100,97,0.54,RU,1644597765
428,San Jose,37.3394,-121.895,68.86,57,0,3.44,US,1644597606
429,Valle d'Aosta,45.7667,7.4167,38.17,23,36,16.11,IT,1644597766
430,Bubaque,11.2833,-15.8333,79.7,65,36,13.96,GW,1644597766
431,Linxia Chengguanzhen,35.6003,103.2064,23.16,95,100,5.75,CN,1644597766
432,Guiyang,26.5833,106.7167,37.89,93,100,8.95,CN,1644597767
433,Lamu,-2.2717,40.902,80.82,83,3,15.17,KE,1644597767
434,The Valley,18.217,-63.0578,82.54,51,20,17.27,AI,1644597768
435,Itacarambi,-15.1022,-44.0919,87.89,53,37,1.05,BR,1644597768
436,Fraijanes,14.4653,-90.4408,62.67,72,20,13.8,GT,1644597768
437,Sisimiut,66.9395,-53.6735,22.78,93,100,12.86,GL,1644597769
438,Umeå,63.8284,20.2597,24.73,74,0,10.36,SE,1644597769
439,Dzaoudzi,-12.7887,45.2699,80.49,83,0,9.22,YT,1644597769
440,Smithers,54.7804,-127.1743,17.92,93,75,3.44,CA,1644597770
441,Three Hills,51.7001,-113.2686,28.87,54,5,26.46,CA,1644597770
442,Severnoye,56.3491,78.3619,-13.94,100,31,4.76,RU,1644597770
443,Williams Lake,52.1415,-122.1445,22.57,91,75,3.44,CA,1644597735
444,Timrå,62.487,17.3257,28.08,64,5,5.75,SE,1644597771
445,Constitución,-35.3333,-72.4167,70.02,40,0,13.42,CL,1644597771
446,Leningradskiy,69.3833,178.4167,-17.5,97,100,4.45,RU,1644597772
447,Fortuna,40.5982,-124.1573,49.12,81,0,11.5,US,1644597772
448,Half Moon Bay,37.4636,-122.4286,67.62,69,0,5.75,US,1644597772
449,‘Āhuimanu,21.4447,-157.8378,64.78,89,0,5.75,US,1644597773
450,Verkhnyaya Inta,65.9811,60.3094,8.4,72,100,14.94,RU,1644597773
451,Oktyabr'skoye,43.0645,44.7417,35.74,86,40,6.71,RU,1644597774
452,Neiafu,-18.65,-173.9833,77.68,88,40,5.75,TO,1644597774
453,Livingston,55.9029,-3.5226,41.07,78,0,11.5,GB,1644597774
454,Luwingu,-10.2621,29.9271,63.86,96,95,2.89,ZM,1644597775
455,Itoman,26.1247,127.6694,66.22,72,87,6.91,JP,1644597775
456,Nānākuli,21.3906,-158.1547,65.03,82,0,4.61,US,1644597776
457,Kang,-23.6752,22.7876,78.98,45,80,7.45,BW,1644597776
458,Yangambi,0.8102,24.4336,80.64,54,99,2.48,CD,1644597776
459,Nemuro,43.3236,145.575,23.04,80,84,8.75,JP,1644597777
460,Itaituba,-4.2761,-55.9836,87.96,70,20,4.61,BR,1644597777
461,Maridi,4.9158,29.4742,84.69,24,96,3.76,SS,1644597777
462,San Cristobal,7.7669,-72.225,66.38,67,86,3.33,VE,1644597778
463,Assiut,27.181,31.1837,62.78,37,0,8.97,EG,1644597778
464,Nouakchott,18.0858,-15.9785,87.73,20,61,20.2,MR,1644597695
465,Imbituba,-28.24,-48.6703,85.89,62,0,15.03,BR,1644597779
466,Galveston,29.3669,-94.9669,69.13,67,0,6.91,US,1644597779
467,Caxias,38.7031,-9.2767,69.13,59,0,10.36,PT,1644597780
468,Pritzwalk,53.1494,12.1741,40.62,87,100,13.27,DE,1644597780
469,Cernay,47.8097,7.177,43.52,74,12,5.08,FR,1644597780
470,Arrondissement de Mayenne,48.3333,-0.6667,44.04,74,63,3.11,FR,1644597781
471,Marovoay,-16.1,46.6333,82.54,88,91,7.52,MG,1644597781
472,Ayr,55.4627,-4.6339,45.1,70,20,14.97,GB,1644597781
473,Korsholm,63.1142,21.6822,25.9,74,0,4.61,FI,1644597782
474,Mocuba,-16.8392,36.9856,77.58,75,81,6.89,MZ,1644597782
475,Kamenka,51.3223,42.7678,33.75,99,100,17.6,RU,1644597783
476,Najrān,17.4924,44.1277,77.65,16,12,5.1,SA,1644597783
477,La Asuncion,11.0333,-63.8628,82.13,69,0,17.27,VE,1644597783
478,Ilulissat,69.2167,-51.1,23.02,50,75,14.97,GL,1644597784
479,Cabatuan,10.8794,122.486,75.97,86,100,10.71,PH,1644597784
480,La Libertad,-2.2333,-80.9,80.26,69,0,10.36,EC,1644597785
481,Hasaki,35.7333,140.8333,34.2,57,11,15.48,JP,1644597785
482,Veinticinco de Mayo,-35.4323,-60.1727,67.05,91,100,11.01,AR,1644597785
483,Iquitos,-3.7481,-73.2472,87.84,62,75,4.61,PE,1644597786
484,Broome,42.2506,-75.833,47.21,53,0,15.01,US,1644597786
485,Stuttgart,48.7823,9.177,42.66,75,40,11.5,DE,1644597643
486,Tura,25.5198,90.2201,56.08,61,46,1.23,IN,1644597609
487,Bambanglipuro,-7.95,110.2833,77.95,85,100,1.92,ID,1644597787
488,Los Llanos de Aridane,28.6585,-17.9182,71.35,38,0,3.44,ES,1644597787
489,Tomatlán,19.9333,-105.25,84.99,24,0,1.83,MX,1644597788
490,Port Macquarie,-31.4333,152.9167,66.16,100,75,6.91,AU,1644597788
491,Tafresh,34.692,50.013,38.03,89,99,0.98,IR,1644597788
492,Nísia Floresta,-6.0911,-35.2086,88.61,52,56,13.0,BR,1644597789
493,Jiaocheng,24.6774,116.1389,59.02,94,57,3.13,CN,1644597789
494,Juneau,58.3019,-134.4197,33.84,94,100,14.97,US,1644597790
495,Drayton Valley,53.2168,-114.9854,25.7,50,46,11.92,CA,1644597774
496,Poya,-21.35,165.15,77.18,90,100,5.77,NC,1644597790
497,Rafaela,-31.2503,-61.4867,80.62,30,81,15.48,AR,1644597791
498,El Salvador,13.8333,-88.9167,82.8,39,17,3.44,SV,1644597649
499,La Penne-sur-Huveaune,43.2821,5.5164,61.7,56,3,11.01,FR,1644597791
500,Sabang,5.8933,95.3214,81.68,71,100,10.04,ID,1644597792
501,Batagay-Alyta,67.8006,130.4114,-23.55,88,71,5.55,RU,1644597792
502,Sinop Province,41.7711,34.8709,34.23,75,11,10.89,TR,1644597792
503,Mehamn,71.0357,27.8492,31.95,74,75,20.71,NO,1644597793
504,Christchurch,-43.5333,172.6333,62.91,91,100,6.91,NZ,1644597650
505,Iisaku Parish,59.1014,27.3081,24.21,91,31,9.24,EE,1644597793
506,Nago,26.5881,127.9761,66.27,71,94,8.93,JP,1644597794
507,Yuanping,38.7153,112.7575,28.96,48,57,1.68,CN,1644597794
508,Mason City,43.1536,-93.201,26.69,71,40,39.12,US,1644597669
509,Port Hardy,50.6996,-127.4199,40.75,100,100,2.3,CA,1644597795
510,Viedma,-40.8135,-62.9967,70.88,23,74,12.15,AR,1644597795
511,Kushiro,42.975,144.3747,16.5,91,64,4.83,JP,1644597796
512,Guerrero Negro,27.9769,-114.0611,68.72,29,0,4.0,MX,1644597727
513,Tokonou,9.65,-9.7833,94.32,7,3,7.67,GN,1644597796
514,Tautira,-17.7333,-149.15,77.02,72,50,15.39,PF,1644597797
515,Vila Velha,-20.3297,-40.2925,76.95,89,75,12.66,BR,1644597537
516,Aklavik,68.2191,-135.0107,-22.97,68,20,4.61,CA,1644597749
517,Yulara,-25.2406,130.9889,71.44,35,0,5.75,AU,1644597797
518,Quepos,9.4236,-84.1652,91.53,61,44,6.8,CR,1644597798
519,Semey,50.4111,80.2275,-13.02,100,28,5.95,KZ,1644597798
520,Guilin,25.2819,110.2864,44.71,89,100,5.82,CN,1644597799
521,Ambulu,-8.345,113.6058,75.83,90,100,3.18,ID,1644597799
522,Donskoye,45.4552,41.9741,41.13,86,95,7.92,RU,1644597799
523,Pacific Grove,36.6177,-121.9166,68.58,50,0,7.0,US,1644597800
524,Queenstown,-31.8976,26.8753,70.5,76,0,16.2,ZA,1644597800
525,Salmās,38.1973,44.7653,32.99,90,98,0.85,IR,1644597800
